Restaurant,Note
TacosWorld,8
Yumexican,5
Dos Hermanos,9
TacosWorld,7
Yumexican,4
Dos Hermanos,8
TacosWorld,9
Yumexican,3
Dos Hermanos,7
TacosWorld,6
Yumexican,2
Dos Hermanos,8
TacosWorld,8
Yumexican,3
Dos Hermanos,7
TacosWorld,7
Yumexican,4
Dos Hermanos,9
TacosWorld,6
Yumexican,2
Dos Hermanos,8
TacosWorld,8
Yumexican,5
Dos Hermanos,9
TacosWorld,7
Yumexican,3
Dos Hermanos,8
TacosWorld,9
Yumexican,4
Dos Hermanos,7
TacosWorld,6
Yumexican,2
Dos Hermanos,8
TacosWorld,8
Yumexican,5
Dos Hermanos,9
TacosWorld,7
Yumexican,3
Dos Hermanos,8
TacosWorld,9
Yumexican,4
Dos Hermanos,7
TacosWorld,6
Yumexican,2
Dos Hermanos,8
TacosWorld,8
Yumexican,5
Dos Hermanos,9
